                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83806,                 2.4803,                 1.3168,                0.78157,                0.54576,                0.68245,                0.51812,                0.86096,                 2.1988,                 1.5347,             0.00033036,             0.00033036,             0.00033036
                      2,                 0.7646,                 1.4362,                 1.2349,                0.78836,                0.75026,                 0.7852,                0.59212,                0.83067,                 1.4017,                  1.361,             0.00065712,             0.00065712,             0.00065712
                      3,                0.75342,                 1.1887,                 1.2266,                0.91826,                0.77405,                0.87373,                0.68202,                0.81014,                 1.2318,                 1.3753,             0.00097728,             0.00097728,             0.00097728
                      4,                0.73504,                 1.0052,                 1.1969,                0.83631,                0.86544,                0.90354,                0.72224,                0.77235,                0.98389,                  1.366,              0.0009703,              0.0009703,              0.0009703
                      5,                0.72697,                0.87335,                  1.193,                0.88992,                0.78403,                0.89419,                0.71087,                0.72948,                 1.0313,                 1.2689,              0.0009703,              0.0009703,              0.0009703
                      6,                0.69178,                0.75981,                 1.1696,                0.95375,                0.78698,                0.89493,                0.69055,                0.82843,                0.83776,                 1.4041,              0.0009604,              0.0009604,              0.0009604
                      7,                0.69325,                 0.7132,                 1.1636,                0.87421,                 0.8526,                0.91072,                0.73617,                0.75146,                0.74562,                 1.3058,              0.0009505,              0.0009505,              0.0009505
                      8,                 0.6603,                0.66177,                 1.1493,                0.98155,                0.89013,                0.95017,                0.78858,                0.68875,                0.60446,                 1.2438,              0.0009406,              0.0009406,              0.0009406
                      9,                0.65159,                0.62295,                 1.1358,                0.94958,                0.88559,                0.96268,                0.83873,                0.60518,                0.54692,                 1.1343,              0.0009307,              0.0009307,              0.0009307
                     10,                0.62712,                0.58207,                 1.1247,                0.96076,                0.93862,                0.95865,                0.82666,                0.61206,                0.47752,                 1.1456,              0.0009208,              0.0009208,              0.0009208
                     11,                0.61222,                0.58624,                 1.1104,                0.95676,                0.92194,                0.96878,                0.83685,                0.60189,                0.47311,                 1.1281,              0.0009109,              0.0009109,              0.0009109
                     12,                0.61884,                0.54406,                 1.1186,                0.96432,                0.91698,                0.97486,                0.83595,                0.61068,                0.46974,                 1.1429,               0.000901,               0.000901,               0.000901
                     13,                0.60202,                 0.5192,                 1.1162,                0.97471,                0.90807,                0.95226,                0.82146,                0.58626,                0.43415,                 1.1252,              0.0008911,              0.0008911,              0.0008911
                     14,                    0.6,                 0.5054,                 1.1005,                0.95196,                0.92879,                0.97334,                0.83458,                0.58046,                0.41759,                   1.11,              0.0008812,              0.0008812,              0.0008812
                     15,                0.58944,                0.49803,                 1.1083,                0.97088,                0.91882,                0.95248,                0.84793,                0.53967,                0.43467,                 1.0698,              0.0008713,              0.0008713,              0.0008713
                     16,                0.56921,                0.48163,                 1.0816,                0.94859,                0.92139,                0.96284,                0.83201,                0.58092,                0.42444,                 1.1197,              0.0008614,              0.0008614,              0.0008614
                     17,                 0.5698,                0.46367,                 1.0838,                0.92521,                0.91921,                0.96396,                0.84748,                0.55341,                0.39986,                 1.0726,              0.0008515,              0.0008515,              0.0008515
                     18,                0.55825,                   0.47,                 1.0779,                0.94493,                0.93948,                0.97828,                0.86113,                0.54076,                0.41607,                 1.0595,              0.0008416,              0.0008416,              0.0008416
                     19,                0.56381,                0.45391,                 1.0786,                0.95925,                0.93536,                0.96885,                0.85831,                0.55231,                0.38111,                 1.0804,              0.0008317,              0.0008317,              0.0008317
                     20,                0.55573,                0.44693,                 1.0733,                0.96508,                0.96616,                0.98532,                0.85952,                0.56384,                0.38404,                 1.0844,              0.0008218,              0.0008218,              0.0008218
                     21,                 0.5511,                0.42956,                 1.0754,                0.97998,                0.95417,                0.97649,                0.86541,                 0.5264,                0.37565,                 1.0404,              0.0008119,              0.0008119,              0.0008119
                     22,                0.53932,                0.42839,                 1.0633,                0.97484,                0.93418,                0.97195,                0.87264,                0.51795,                0.35987,                 1.0319,               0.000802,               0.000802,               0.000802
                     23,                0.53088,                0.42031,                 1.0584,                0.98385,                0.91977,                 0.9657,                0.86183,                0.51312,                 0.3687,                 1.0357,              0.0007921,              0.0007921,              0.0007921
                     24,                 0.5246,                0.40037,                 1.0611,                0.98248,                0.97983,                0.98873,                 0.8987,                0.49173,                 0.3282,                 1.0186,              0.0007822,              0.0007822,              0.0007822
                     25,                0.54142,                0.41323,                 1.0654,                0.99131,                0.94628,                0.98016,                0.88305,                0.51155,                0.37982,                 1.0328,              0.0007723,              0.0007723,              0.0007723
                     26,                0.50739,                0.39312,                 1.0528,                0.94926,                0.95936,                0.97629,                 0.8661,                0.52268,                0.35883,                 1.0547,              0.0007624,              0.0007624,              0.0007624
                     27,                0.49875,                 0.3918,                 1.0413,                0.97257,                0.92771,                0.97342,                0.87653,                0.50136,                0.37331,                 1.0153,              0.0007525,              0.0007525,              0.0007525
                     28,                0.51044,                0.39234,                 1.0475,                0.96687,                0.96257,                0.98778,                0.89063,                 0.4956,                0.34093,                 1.0164,              0.0007426,              0.0007426,              0.0007426
                     29,                0.50145,                0.38301,                 1.0411,                0.98028,                0.95111,                0.98606,                0.89544,                0.47709,                0.33564,                 1.0044,              0.0007327,              0.0007327,              0.0007327
                     30,                0.49441,                0.39002,                 1.0409,                0.97051,                0.97679,                0.98695,                0.88795,                0.48769,                0.33955,                 1.0106,              0.0007228,              0.0007228,              0.0007228
